borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,1395,23,108.0,4.0,10022.0,19.0,149 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,2008,0,20.0,100.42,5,957600,0,,,1,993344.0,217211.0,40.7628657,-73.967172,8c,,New York
MN,1395,26,108.0,4.0,10022.0,19.0,155 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,8033,0,80.0,100.42,5,3405150,0,,,1,993424.0,217168.0,40.7627476,-73.9668832,8c,,New York
MN,1614,15,111.0,9.0,10029.0,23.0,1620 MADISON AVENUE,NY,V1,11,,1620 GROUP,2187,0,25.0,87.5,5,386100,0,,,1,998456.0,228988.0,40.7951838,-73.9486935,6b,,New York
MN,1969,6,109.0,7.0,10027.0,26.0,487 WEST 129 STREET,NY,V1,11,,487 W 129TH ST PERMANENT HOUSING DEV FUN D CORP,9878,0,97.5,99.92,0,1190250,0,,,1,996962.0,236193.0,40.8149618,-73.9540756,6a,,New York
MN,1969,78,109.0,7.0,10027.0,26.0,498 WEST 130 STREET,NY,V1,11,,"130 LENOX, INC.",1246,0,25.0,49.83,5,138600,0,,,1,996925.0,236361.0,40.8154229,-73.9542089,6a,,New York
MN,1967,89,109.0,7.0,10027.0,26.0,460 WEST 128 STREET,NY,V1,11,,J128 LLC,24366,0,200.33,99.0,5,2205000,0,,,1,996850.0,235776.0,40.8138174,-73.954481,6a,,New York
MN,1960,15,110.0,9.0,10030.0,32.0,2535 FREDRICK DOUGLASS BL,NY,V1,11,,EMPIRE DEVELOPMENT FUND 2 LLC,9992,0,99.92,100.0,3,1211400,0,,,1,999058.0,236977.0,40.8171104,-73.9465017,6a,,New York
MN,2121,1,112.0,10.0,10032.0,33.0,1040 ST NICHOLAS AVENUE,NY,V1,11,,"CATS 1040 ST. NICHOLAS AVENUE, LLC",10560,0,208.58,164.5,1,1074150,0,,,1,1000926.0,244049.0,40.8365177,-73.9397354,3b,,New York
MN,2046,127,110.0,9.0,10039.0,32.0,303 WEST 151 STREET,NY,V1,11,X,HARLEM URBAN DEV CORP,1948,0,19.5,99.92,5,227250,0,,,1,1001005.0,240582.0,40.8270016,-73.9394586,3b,,New York
MN,1960,34,110.0,9.0,10030.0,32.0,321 WEST 136 STREET,NY,V1,11,,GRATITUDE CAPITAL LLC,2548,0,25.5,99.92,5,301500,0,Dorrance Brooks Square Historic District,,1,998959.0,237214.0,40.817761,-73.9468588,6a,,New York
MN,444,42,103.0,2.0,10003.0,9.0,33 1 AVENUE,NY,V1,11,,FIRST TOWER LLC,2900,0,40.0,72.5,3,180000,0,,,1,987531.0,203107.0,40.7241579,-73.9881629,12c,,New York
MN,444,1,103.0,2.0,10003.0,9.0,42 SECOND AVENUE,NY,V1,11,,SECOND AND SECOND PROPERTY LLC,14019,0,161.92,100.0,3,2119050,0,,,1,987062.0,203444.0,40.725083,-73.9898548,12c,,New York
