borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
SI,8008,80,503.0,51.0,10309.0,123.0,46 MURRAY STREET,NY,V0,11,,MURRAY PAGE 74 LLC,4729,0,40.0,119.35,5,1260,0,,,5,919300.0,127980.0,40.5177129,-74.2336006,32d,,New York
SI,3692,39,502.0,50.0,10306.0,122.0,303 LINCOLN AVENUE,NY,V0,11,,"RICHARD ELITE, TRSTEE-CURRO PRESERVATION  TRUST IV",6310,0,41.0,149.0,5,19980,0,,,5,955709.0,149317.0,40.5764707,-74.1027414,27b,,New York
SI,1226,119,501.0,49.0,10303.0,121.0,25 MCGEE LANE,NY,V0,11,,"647-649 WASHINGTON AVE., LLC",2907,0,27.0,107.0,5,6300,0,,,5,940183.0,170120.0,40.633507,-74.1587673,20c,,New York
SI,3481,28,502.0,50.0,10305.0,122.0,772 SEAVIEW AVENUE,NY,V0,11,,"AUGUST, EDWARD",900,0,15.0,60.0,5,2454,0,,,5,962379.0,150392.0,40.5794403,-74.0787343,27d,,New York
SI,1598,2,502.0,50.0,10314.0,121.0,161 LANDER AVENUE,NY,V0,11,,"MOBILE AVENUE, LLC",3500,0,35.0,100.0,5,7620,0,,,5,938613.0,163085.0,40.6141895,-74.1643762,20d,,New York
SI,6394,5,503.0,51.0,10312.0,123.0,3 COURT,NY,V0,11,,DAWN BREGULLA,2000,0,40.0,50.0,5,6660,0,,,5,937562.0,130725.0,40.5253623,-74.1679382,33d,,New York
SI,47,56,501.0,49.0,10301.0,120.0,255 YORK AVENUE,NY,V0,11,,A F HALL,2760,0,30.0,92.0,5,18180,0,,,5,959905.0,172541.0,40.6402283,-74.0877204,21c,,New York
SI,6662,55,503.0,51.0,10309.0,123.0,143 COASTAL LOOP,NY,V0,11,,PMBL LLC,4641,0,56.5,82.15,5,12060,0,,,5,929469.0,125797.0,40.5117896,-74.197009,35c,,New York
SI,2827,200,501.0,49.0,10305.0,120.0,32 SYLVATON TERRACE,NY,V0,11,,SYLVATON HOLDINGS LLC,8640,0,60.0,144.0,5,46800,0,,,5,965575.0,163971.0,40.6167192,-74.0672665,21d,,New York
SI,378,18,501.0,50.0,10314.0,120.0,1963 VICTORY BLVD.,NY,V1,11,,SISTERS OF THE LAND LLC,10300,0,100.0,103.0,5,258300,0,,,5,948286.0,162578.0,40.6128424,-74.1295331,21b,,New York
SI,3840,14,502.0,50.0,10305.0,122.0,712 NAUGHTON AVENUE,NY,V0,11,C,CITY OF NEW YORK,3874,0,23.0,159.0,5,12120,0,,,5,961508.0,149597.0,40.577256,-74.0818672,27d,,New York
SI,3840,16,502.0,50.0,10305.0,122.0,716 NAUGHTON AVENUE,NY,V0,11,C,CITY OF NEW YORK,3042,0,23.0,124.0,5,9720,0,,,5,961548.0,149590.0,40.5772369,-74.0817232,27d,,New York
SI,4762,30,503.0,50.0,10306.0,122.0,588 MILL ROAD,NY,V0,11,C,CITY OF NEW YORK,2720,0,34.0,80.0,3,9360,0,,,5,951850.0,141536.0,40.5551001,-74.1165957,34a,,New York
SI,5238,8,503.0,51.0,10312.0,122.0,464 THORNYCROFT AVENUE,NY,V0,11,,UNAVAILABLE OWNER,1020,0,15.0,68.0,5,3720,0,,,5,939548.0,137208.0,40.5431671,-74.1608373,33c,,New York
SI,4690,134,503.0,50.0,10306.0,122.0,570 RIGA STREET,NY,V0,11,X,"SIY SOCCER LEAGUE, INC.",2155,0,25.0,94.0,5,6600,0,,,5,951546.0,141720.0,40.555604,-74.1176905,34a,,New York
SI,540,32,501.0,49.0,10304.0,120.0,51 GORDON STREET,NY,V0,11,,51 GORDON MK LLC,2500,0,25.0,100.0,5,7440,0,,,5,961455.0,167238.0,40.6256768,-74.0821175,21d,,New York
SI,877,86,502.0,50.0,10304.0,122.0,653 TODT HILL ROAD,NY,V0,11,,TODT HILL LLC,15228,0,81.0,188.0,5,40080,0,,,5,953568.0,156594.0,40.5964374,-74.1104816,27a,,New York
SI,6662,124,503.0,51.0,10309.0,123.0,19 COASTAL LOOP,NY,V0,11,,PMBL LLC,15368,0,47.9,203.8,2,27840,0,,,5,930483.0,125962.0,40.5122487,-74.1933637,35c,,New York
SI,6662,121,503.0,51.0,10309.0,123.0,31 COASTAL LOOP,NY,V0,11,,PMBL LLC,11875,0,46.23,192.08,2,38640,0,,,5,930358.0,125806.0,40.5118197,-74.193812,35c,,New York
SI,6662,71,503.0,51.0,10309.0,123.0,27 ANCHORAGE LANE,NY,V0,11,,PMBL LLC,4108,0,47.35,82.02,5,10680,0,,,5,929793.0,125621.0,40.5113085,-74.1958424,35c,,New York
SI,6662,60,503.0,51.0,10309.0,123.0,36 SCHOONER LANE,NY,V0,11,,PMBL LLC,4062,0,52.83,80.56,5,10560,0,,,5,929732.0,125742.0,40.5116403,-74.1960628,35c,,New York
SI,6662,96,503.0,51.0,10309.0,123.0,123 COASTAL LOOP,NY,V0,11,,PMBL LLC,9003,0,47.79,173.63,2,18000,0,,,5,929391.0,125509.0,40.5109986,-74.1972872,35c,,New York
SI,2987,35,501.0,49.0,10305.0,120.0,71 BELL STREET,NY,V0,11,,HOPE HILL LLC,3190,0,123.0,33.0,3,9540,0,,,5,962817.0,162429.0,40.6124805,-74.0771958,21d,,New York
