borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes
MN,2177,255,112.0,10.0,10033.0,34.0,CABRINI BOULEVARD,,V1,11,X,PORT AUTHORITY OF NY AND NJ,54400,0,200.0,272.0,3,4885650,0,,,1,1000490.0,249011.0,40.8501377,-73.941299,3a,
MN,2139,80,112.0,10.0,10032.0,33.0,WEST 168 STREET,,V6,11,X,TRUSTEES OF COLUMBIA UNIVERSITY,8550,0,41.08,34.0,5,1278450,0,,,1,999952.0,246121.0,40.8422065,-73.9432504,3b,
MN,2111,37,112.0,10.0,10032.0,33.0,455 WEST 164 STREET,,V1,11,,445 W 164 LLC,3275,0,25.0,142.42,5,254250,0,,,1,1001496.0,244242.0,40.8370463,-73.937675,3b,
MN,919,35,106.0,4.0,10016.0,17.0,246 EAST 39 STREET,,V9,11,,242 REALTY LLC,2469,0,25.0,98.75,5,363600,0,,,1,991402.0,211766.0,40.7479224,-73.9741881,8d,
MN,970,2,106.0,4.0,10017.0,17.0,EAST 40 STREET,,V1,11,,"708 FIRST REALTY COMPANY,LLC",82497,0,422.1,197.5,3,45311400,0,,,1,992633.0,211615.0,40.7475069,-73.9697456,8d,
MN,2120,62,112.0,10.0,10032.0,33.0,565 WEST 161 STREET,,V1,11,,SJM HOLDINGS 565 LLC,1890,0,18.92,99.92,5,146700,0,,,1,1000319.0,243978.0,40.8363239,-73.9419292,3b,
MN,970,1,106.0,4.0,10016.0,17.0,666 1 AVENUE,,V1,11,,"700 FIRST REALTY COMPANY, LLC",193528,0,515.0,336.86,3,101485350,0,,,1,992449.0,211320.0,40.7466973,-73.97041,8d,
MN,2170,31,112.0,10.0,10033.0,34.0,663 WEST 187 STREET,,V1,11,,187 STREET MAZAL LLC,1582,0,16.67,94.92,5,153900,0,,,1,1002840.0,250452.0,40.8540882,-73.9328007,3a,
MN,2170,27,112.0,10.0,10033.0,34.0,655 WEST 187 STREET,,V1,11,,187 STREET MAZAL LLC,1582,0,16.67,94.92,5,153900,0,,,1,1002899.0,250420.0,40.8540002,-73.9325875,3a,
MN,2123,36,112.0,10.0,10032.0,33.0,506 WEST 166 STREET,,V1,11,,TRUSTEES OF COLUMBIA UNIVERSITY,2625,0,25.0,107.83,5,203850,0,,,1,1001257.0,244847.0,40.8387073,-73.9385372,3b,
MN,2130,58,112.0,10.0,10032.0,33.0,525 WEST 173 STREET,,V1,11,,"CITIMORTGAGE, INC.",1875,0,18.75,100.0,5,230400,0,,,1,1002107.0,246608.0,40.8435391,-73.9354606,3b,
MN,2180,75,112.0,10.0,10033.0,34.0,BENNETT AVENUE,,V1,11,,BENNETT ROCK LLC,4858,0,50.0,161.83,4,411750,0,,,1,1001774.0,249396.0,40.851192,-73.9366569,3a,
MN,2215,173,208.0,10.0,10463.0,50.0,TERRACE VIEW AVENUE,,V1,11,,7-15 TERRACE VIEW AVENUE LLC,8175,0,108.0,70.0,5,479700,0,,,1,1008985.0,259200.0,40.8780837,-73.9105555,1d,
MN,2128,48,112.0,10.0,10032.0,33.0,2238A AMSTERDAM AVENUE,,V1,11,,"NEW YORK HE TRADING CO., LLC",2500,0,25.0,100.0,5,189000,0,,,1,1002045.0,246084.0,40.842101,-73.9356861,3b,
MN,2069,28,109.0,9.0,10032.0,30.0,89 ST NICHOLAS PLACE,,V1,11,,GETTY PETROLEUM CORP,12,0,1.92,9.75,8,1170,0,,,1,1000503.0,241927.0,40.8306942,-73.9412692,3b,
MN,2179,474,112.0,10.0,10033.0,34.0,CHITTENDEN AVENUE,,V1,11,,BLOCK 2179 LOT 474 LLC,11000,0,121.08,85.0,5,983250,0,,,1,1001382.0,251249.0,40.8562787,-73.9380691,3a,
MN,2179,243,112.0,10.0,10033.0,34.0,RIVERSIDE DRIVE,,V1,11,,"RIEDER RUBIN, ANNETTE",3990,0,50.95,79.32,5,204300,0,,,1,1000980.0,250810.0,40.8550745,-73.9395234,3a,
MN,2140,85,112.0,10.0,10032.0,33.0,RIVERSIDE DRIVE,,V1,11,X,PORT AUTHORITY OF NY AND NJ,15875,0,60.58,364.67,5,2490300,0,,,1,999541.0,246423.0,40.8430361,-73.9447352,3b,
MN,1347,22,106.0,4.0,10022.0,17.0,349 EAST 54 STREET,,V1,11,,LAWRENCE YASUYO,2010,0,20.0,100.5,5,369900,0,,,1,994031.0,214995.0,40.7567827,-73.9646952,8d,
MN,2106,400,112.0,10.0,10033.0,33.0,AMSTERDAM AVENUE,,V7,11,X,PORT AUTHORITY OF NY AND NJ,450,0,86.42,33.83,5,450,0,,,1,1003020.0,247554.0,40.8461337,-73.9321582,3b,
MN,2120,58,112.0,10.0,10032.0,33.0,557 WEST 161 STREET,,V1,11,,557 WEST 161ST STREET LLC,1799,0,18.0,99.92,5,248850,0,,,1,1000382.0,243943.0,40.8362277,-73.9417016,3b,
MN,2108,71,112.0,10.0,10032.0,33.0,467 WEST 157 STREET,,V1,11,,"467 WEST 157 HOLDING, LLC",4996,0,50.0,99.92,5,369000,0,,,1,1000481.0,242702.0,40.8328214,-73.9413468,3b,
MN,2134,41,112.0,7.0,10032.0,33.0,WEST 156 STREET,,V1,11,,HISPANIC SO OF AMER,4996,0,50.0,99.92,5,645300,0,,,1,998967.0,243062.0,40.8338121,-73.9468171,3b,
MN,2064,34,109.0,9.0,10031.0,30.0,793 ST NICHOLAS AVENUE,,V1,11,,FLORENCE WHEELER,1000,0,25.5,42.0,5,113400,0,,,1,1000000.0,240645.0,40.8271764,-73.9430898,3b,
MN,941,9,106.0,4.0,10016.0,17.0,2 AVENUE,,V1,11,X,MTA - BRIDGES AND TUNNELS,8097,0,41.0,197.5,5,1251000,0,,,1,991308.0,210877.0,40.7454824,-73.9745283,8d,
MN,2121,59,112.0,10.0,10032.0,33.0,WEST 163 STREET,,V1,11,,EMS GARDEN APARTMENTS LLC,200,0,10.0,20.0,8,2250,0,,,1,1000931.0,244192.0,40.8369101,-73.939717,3b,
MN,2121,1,112.0,10.0,10032.0,33.0,1040 ST NICHOLAS AVENUE,,V1,11,,"CATS 1040 ST. NICHOLAS AVENUE, LLC",10560,0,208.58,164.5,1,826200,0,,,1,1000926.0,244049.0,40.8365177,-73.9397354,3b,
