borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BK,5751,59,310.0,43.0,11219.0,68.0,66 STREET,NY,V0,11,,"CHEN, SHUN LONG",206,0,5.5,82.17,8,316,0,,,3,982194.0,168344.0,40.6287416,-74.0074069,22a,,New York
BK,1452,35,316.0,41.0,11233.0,73.0,1920 BERGEN STREET,NY,V0,11,,"MCDONALD, WANDA",2000,0,20.0,100.0,5,8640,0,,,3,1007104.0,184879.0,40.6740974,-73.9176101,17a,,New York
BK,782,11,307.0,38.0,11232.0,72.0,314 49 STREET,NY,V0,11,,234-236 52ND REALTYLLC,1553,0,15.5,100.17,5,11160,0,,,3,980393.0,175324.0,40.6478997,-74.0138992,22a,,New York
BK,5293,33,312.0,39.0,11218.0,66.0,3902 13 AVENUE,NY,V1,11,,GGMRE LLC,3460,0,60.0,57.67,3,134550,0,,,3,987958.0,172664.0,40.6405986,-73.9866392,22c,,New York
BK,1867,16,303.0,36.0,11216.0,79.0,521 NOSTRAND AVENUE,NY,V1,11,,"IZ MA, LLC",1933,0,19.33,100.0,5,205650,0,,,3,998311.0,186801.0,40.6793911,-73.9493053,17a,,New York
BK,1867,18,303.0,36.0,11216.0,79.0,517 NOSTRAND AVENUE,NY,V1,11,,TITO PLAZA IV LLC,1950,0,19.5,100.0,3,189000,0,,,3,998314.0,186840.0,40.6794982,-73.9492944,17a,,New York
BK,5690,54,312.0,44.0,11219.0,66.0,1237 57 STREET,NY,V0,11,,1233-57 ST. LLC,8013,0,80.0,100.17,5,100800,0,,,3,984959.0,169250.0,40.6312286,-73.9974457,22c,,New York
BK,5690,58,312.0,44.0,11219.0,66.0,1233 57 STREET,NY,V0,11,,1233-57 ST. LLC,8013,0,80.0,100.17,5,100800,0,,,3,984897.0,169300.0,40.6313659,-73.997669,22c,,New York
BK,1972,23,302.0,35.0,11238.0,88.0,414 CLASSON AVENUE,NY,V0,11,,414 CLASSON LLC,4300,0,43.75,91.0,3,38580,0,,,3,995432.0,189121.0,40.6857631,-73.9596813,16c,,New York
BK,5538,132,311.0,43.0,11204.0,62.0,1611 63 STREET,NY,V1,11,,CATERINA OLIVERI,2000,0,85.0,12.5,5,48600,0,,,3,986420.0,165830.0,40.6218412,-73.9921832,22d,,New York
